Name,Beer Name (Full),ABV
Summer Belgian-Style Blonde Ale,Choc Beer Co. / Pete's Place Belgian-Style Blonde Ale,"0,06"
Pater Lieven Blond,Brouwerij Van den Bossche Pater Lieven Blond,"0,07"
Troegenator,Tröegs Brewing Company Troegenator Double Bock,"0,08"
Spaten Optimator,Spaten-Franziskaner-Bräu Spaten Optimator,"0,08"
Salvator,Paulaner Brauerei GmbH & Co. KG Salvator Doppel Bock,"0,08"
Korbinian,Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Korbinian,"0,07"
Samichlaus Classic Bier,Brauerei Schloss Eggenberg Samichlaus Bier,"0,14"
Samuel Adams Double Bock (Imperial Series)Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Double Bock (Imperial Series),"0,10"
Andechser Doppelbock Dunkel,Klosterbrauerei Andechs Andechser Doppelbock Dunkel,"0,07"
Perkulator Coffee Dopplebock,Dark Horse Brewing Company Dark Horse Perkulator Coffee Dopplebock,"0,07"
EKU 28,Kulmbacher Brauerei AG EKU 28,"0,11"
Liberator Doppelbock,Thomas Hooker Brewing Company Thomas Hooker Liberator Doppelbock,"0,09"
Smuttynose S'muttonator (Heritage Series),Smuttynose Brewing Company Smuttynose S'muttonator (Big Beer Series),"0,08"
Butthead Doppelbock,Tommyknocker Brewery Butthead Doppelbock,"0,08"
Autumnal Fire,Capital Brewery Autumnal Fire,"0,08"
Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg Weltenburger Kloster Asam-Bock,"0,07"
Wasatch The Devastator Double Bock,Utah Brewers Cooperative Wasatch Devastator Double Bock,"0,08"
St. Victorious,Victory Brewing Company St. Victorious,"0,08"
Urbock 23°,Brauerei Schloss Eggenberg Urbock 23°,"0,10"
Voodoovator,Atwater Block Brewery Atwater Voodoovator,"0,10"
Saxonator Dunkles Doppelbock,Jack's Abby Brewing Saxonator Dunkles Doppelbock,"0,09"
Doppel-Hirsch,Der HirschBrau/Privatbrauerei Höss Doppel-Hirsch,"0,07"
Josephs Brau Winter Brew,Trader Joe's Brewing Company Josephs Brau Winterfest,"0,08"
Duck-Rabbator,The Duck-Rabbit Craft Brewery Duck-Rabbit Duck-Rabbator,"0,09"
Ettaler Curator Dunkler Doppelbock (US Import Version),Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH Ettaler Curator Doppelbock (US Import Version),"0,09"
Blonde Doppelbock,Capital Brewery Blonde Doppelbock,"0,08"
Doppelbock Dunkel,Brauerei Schloss Eggenberg Doppelbock Dunkel,"0,09"
Tucher Bajuvator Doppelbock,Brauerei Tucher Brau Tucher Bajuvator Doppelbock,"0,07"
Dark Heathen Triple Bock,Kuhnhenn Brewing Company Kuhnhenn Dark Heathen Triple Bock,"0,13"
Winter Bock,Gordon Biersch Brewery Restaurant Gordon Biersch Winter Bock,"0,08"
Deep Water Dopplebock,Thomas Creek Brewery Deep Water Dopplebock,"0,07"
Doppelbock Grande Cuvée Printemps,Les Trois Mousquetaires Doppelbock Grande Cuvée Printemps,"0,09"
Lobotomy Bock,Indian Wells Brewing Company Lobotomy Bock,"0,11"
Primátor Double Bock Beer,Pivovar Náchod a.s. Primátor Double Bock Beer,"0,11"
Icelandic DoppelbockEinstök Ölgerð (Einstök Beer Company),Einstök Ölgerð Icelandic Doppelbock,"0,07"
Dopple Bock,Sprecher Brewing Company Dopple Bock,"0,08"
St. Nikolaus Bock Bier - Brewer's Reserve,Pennsylvania Brewing Company St. Nikolaus Bock Bier - Brewer's Reserve,"0,09"
Emancipator Doppelbock,Christian Moerlein Brewing Company Christian Moerlein Doppelbock,"0,07"
Winter-Bock,Einbecker Brauhaus AG Einbecker Winter-Bock,"0,08"
Granitbock,Brauerei Hofstetten Krammer GmbH & Co. KG Granitbock,"0,07"
Double Vision Doppelbock,Grand Teton Brewing Co. Double Vision Doppelbock,"0,08"
Fireman's Brew Brunette Beer,"Fireman's Brew, Inc. Fireman's Brew Brewnette Beer","0,08"
Schneider Aventinus Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH Schneider Aventinus Weizen-Eisbock,"0,12"
Raspberry Eisbock,Kuhnhenn Brewing Company Kuhnhenn Eisbock,"0,16"
Winter Wonder Lager,Kuhnhenn Brewing Company Kuhnhenn Winter Wonder Lager,"0,13"
Ramstein Winter Wheat Eisbock,High Point Brewing Company Ramstein Winter Wheat Eisbock,"0,12"
Granitbock Ice,Brauerei Hofstetten Krammer GmbH & Co. KG Granitbock Ice,"0,12"
Double Ice Bock,Southampton Publick House Double Ice Bock,"0,18"
Eisbock (Congelator),Micro-Brasserie L'Alchimiste Eisbock (Congelator),"0,09"
Schorschbock Ice 13,Schorschbräu Schorschbock Ice 13,"0,13"
Schorschbock 31%,Schorschbräu Schorschbock 31%,"0,31"
La Félix,"Le Bilboquet, Brasseur Artisan La Félix","0,12"
Schorschbock 57%,Schorschbräu Schorschbock 57%,"0,58"
Eisbock,Lodi Beer Company Eisbock,"0,12"
Eis Instigator,Sly Fox Brewing Company Eis Instigator,"0,11"
Black Ice,Aarhus Bryghus Black Ice,"0,09"
Dead Guy Ale,Rogue Ales Dead Guy Ale,"0,07"
Andygator,Abita Brewing Co. Andygator,"0,08"
Mardi Gras Bock,Abita Brewing Co. Mardi Gras Bock,"0,07"
Hofbräu Maibock (Urbock),Hofbräuhaus München Hofbräu Maibock (Urbock),"0,07"
Cabin Fever,New Glarus Brewing Company Cabin Fever,"0,06"
John John Dead Guy Ale,Rogue Ales John John Dead Guy Ale,"0,06"
Dundee Pale Bock Lager,Genesee Brewing Co. / Dundee Brewing Co. Dundee Pale Bock Lager,"0,06"
Maibock,Summit Brewing Company Summit Maibock,"0,07"
Mai-Ur-Bock,Einbecker Brauhaus AG Einbecker Mai-Ur-Bock,"0,07"
Samichlaus Bier Helles,Brauerei Schloss Eggenberg Samichlaus Bier Helles,"0,14"
Blonde Bock,Gordon Biersch Brewery Restaurant Gordon Biersch Blonde Bock,"0,07"
Boss Tom's Golden Bock,Boulevard Brewing Co. Boss Tom's Golden Bock,"0,06"
Maibock,Capital Brewery Maibock,"0,06"
Narragansett Bock,Narragansett Brewing Co. Narragansett Bock,"0,07"
Berkshire Maibock Lager,Berkshire Brewing Company Inc. Berkshire Maibock Lager,"0,07"
Blonde Double MaiBock,Stoudts Brewing Co. Stoudt's Blonde Double MaiBock,"0,07"
Mai Bock,Sprecher Brewing Company Mai Bock,"0,06"
Maibock,Gordon Biersch Brewery Restaurant Gordon Biersch Maibock,"0,07"
Hacker-Pschorr Hubertus Bock,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Hubertus Bock,"0,07"
Bucking Bock,Rahr & Sons Brewing Company Bucking Bock,"0,08"
The Gift (WinterBock Lager),Starr Hill Brewery The Gift (WinterBock Lager),"0,07"
Primátor Maibock,Pivovar Náchod a.s. Primátor Maibock,"0,08"
Andechser Bergbock Hell,Klosterbrauerei Andechs Andechser Bergbock Hell,"0,07"
Spaten Maibock / Premium Bock,Spaten-Franziskaner-Bräu Spaten Maibock / Premium Bock,"0,07"
Maibock,Atwater Block Brewery Atwater Maibock,"0,08"
Serie Signature Maibock,Les Trois Mousquetaires Serie Signature Maibock,"0,07"
PENNdemonium,Pennsylvania Brewing Company PENNdemonium,"0,08"
